epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,216.536,1.0937,0.50123,0.9103,0.91257,0.80447,0.77615,0.51717,1.28519,0.5632,1.03755,0.000125529,0.000125529,0.000125529
84,219.147,1.07215,0.48497,0.90478,0.90974,0.80381,0.77563,0.5188,1.30453,0.56371,1.04252,0.000118926,0.000118926,0.000118926
85,221.223,1.06731,0.48393,0.90832,0.91053,0.80221,0.77564,0.523,1.30496,0.56417,1.04083,0.000112323,0.000112323,0.000112323
86,223.507,1.0802,0.48848,0.90998,0.91198,0.80202,0.77545,0.52474,1.29761,0.55689,1.03311,0.00010572,0.00010572,0.00010572
87,225.682,1.08945,0.49555,0.90654,0.91242,0.79861,0.77521,0.51696,1.30226,0.55599,1.03279,9.91162e-05,9.91162e-05,9.91162e-05
88,228.119,1.07595,0.49034,0.90476,0.90917,0.80396,0.77344,0.52032,1.31137,0.55888,1.03825,9.25129e-05,9.25129e-05,9.25129e-05
89,230.316,1.06795,0.4924,0.90487,0.90948,0.8041,0.77278,0.51799,1.31329,0.56449,1.03934,8.59096e-05,8.59096e-05,8.59096e-05
90,233.303,1.08235,0.48565,0.92451,0.90898,0.80411,0.77299,0.52399,1.30889,0.56068,1.04027,7.93063e-05,7.93063e-05,7.93063e-05
91,271.892,1.10315,0.50175,0.93465,0.91374,0.80549,0.77293,0.51883,1.31729,0.56623,1.04547,7.2703e-05,7.2703e-05,7.2703e-05
92,275.602,1.09132,0.52986,0.91661,0.91044,0.80482,0.77143,0.51591,1.31964,0.56155,1.04504,6.60997e-05,6.60997e-05,6.60997e-05
93,278.87,1.07549,0.48636,0.92576,0.89551,0.80502,0.77496,0.51942,1.32044,0.56002,1.0469,5.94964e-05,5.94964e-05,5.94964e-05
94,282.302,1.05811,0.48722,0.92234,0.90599,0.80219,0.7748,0.51571,1.31662,0.55566,1.04412,5.28931e-05,5.28931e-05,5.28931e-05
95,285.925,1.05185,0.46633,0.90099,0.90414,0.80389,0.77515,0.51423,1.31948,0.55824,1.04609,4.62898e-05,4.62898e-05,4.62898e-05
96,289.054,1.05164,0.47936,0.93283,0.9046,0.80733,0.77758,0.51664,1.31872,0.56483,1.04563,3.96865e-05,3.96865e-05,3.96865e-05
97,292.253,1.06642,0.48128,0.9261,0.90484,0.80768,0.77748,0.51766,1.31975,0.57065,1.04631,3.30832e-05,3.30832e-05,3.30832e-05
98,296.479,1.03104,0.46827,0.928,0.9077,0.80739,0.77746,0.51662,1.31769,0.57246,1.04645,2.64799e-05,2.64799e-05,2.64799e-05
99,298.564,1.05136,0.46795,0.91276,0.91147,0.80697,0.77735,0.51597,1.31884,0.57284,1.04567,1.98766e-05,1.98766e-05,1.98766e-05
100,300.67,1.02431,0.45804,0.92568,0.91303,0.80683,0.7713,0.50691,1.32013,0.57422,1.04644,1.32733e-05,1.32733e-05,1.32733e-05
